"D.PersonID","D.OrderHeaderID","H.ID","DeviceID","H.CreationDatetime","H.H.LastEditionDatetime","D.WorkspaceLocation","user_visit","H.NbDiners","nb_visits","avg_ticketU","Date","pch_freq"
"10237",1161,1161,"8","2016-09-28 18:51:05.810","2016-09-28 18:51:05.810","NULL",0,2,1,21.5,2016-09-28,0
"10238",1161,1161,"8","2016-09-28 18:51:05.810","2016-09-28 18:51:05.810","NULL",0,2,1,22.5,2016-09-28,0
"10247",1162,1162,"9","2016-09-29 10:33:38.510","2016-09-29 10:33:38.510","NULL",0,2,1,16.2,2016-09-29,0
"10248",1162,1162,"9","2016-09-29 10:33:38.510","2016-09-29 10:33:38.510","NULL",0,2,1,16.2,2016-09-29,0
"10249",1163,1163,"4","2016-09-29 11:04:01.357","2016-09-29 11:04:01.357","NULL",1,2,2,15.25,2016-09-29,0
"10249",1164,1164,"4","2016-09-29 11:28:59.297","2016-09-29 11:28:59.297","NULL",1,1,2,15.25,2016-09-29,0
"10250",1163,1163,"4","2016-09-29 11:04:01.357","2016-09-29 11:04:01.357","NULL",0,2,1,14,2016-09-29,0
"10253",1165,1165,"8","2016-09-29 11:58:48.443","2016-09-29 11:58:48.443","NULL",0,2,1,24.5,2016-09-29,0
"10254",1165,1165,"8","2016-09-29 11:58:48.443","2016-09-29 11:58:48.443","NULL",0,2,1,18.5,2016-09-29,0
"10260",1168,1168,"11","2016-09-29 16:54:12.427","2016-09-29 16:54:12.427","NULL",0,1,1,27.5,2016-09-29,0
"10262",1166,1166,"5","2016-09-29 16:41:29.613","2016-09-29 16:41:29.613","NULL",0,4,1,4,2016-09-29,0
"10263",1166,1166,"5","2016-09-29 16:41:29.613","2016-09-29 16:41:29.613","NULL",0,4,1,4,2016-09-29,0
"10264",1166,1166,"5","2016-09-29 16:41:29.613","2016-09-29 16:41:29.613","NULL",0,4,1,7.2,2016-09-29,0
"10265",1166,1166,"5","2016-09-29 16:41:29.613","2016-09-29 16:41:29.613","NULL",0,4,1,4,2016-09-29,0
"10272",1167,1167,"3","2016-09-29 16:52:08.477","2016-09-29 16:52:08.477","NULL",0,2,1,4.8,2016-09-29,0
"10273",1171,1171,"3","2016-09-29 19:22:55.593","2016-09-29 19:57:25.857","NULL",1,1,2,20.4,2016-09-29,0
"10273",1167,1167,"3","2016-09-29 16:52:08.477","2016-09-29 16:52:08.477","NULL",1,2,2,20.4,2016-09-29,0
"10274",1171,1171,"3","2016-09-29 19:22:55.593","2016-09-29 19:57:25.857","NULL",0,1,1,55.5,2016-09-29,0
"10285",1170,1170,"2","2016-09-29 19:19:05.223","2016-09-29 19:19:05.223","NULL",0,1,1,12,2016-09-29,0
"10289",1169,1169,"7","2016-09-29 18:53:14.990","2016-09-29 18:53:14.990","NULL",0,1,1,3,2016-09-29,0
"10294",1172,1172,"11","2016-09-29 19:33:13.203","2016-09-29 19:33:13.203","NULL",0,1,1,62.5,2016-09-29,0
